iso_a3,country,Inequality index,GDP,male,female,wage_gap
AFG,Afghanistan,0.661,415.70742,,,
AGO,Angola,0.515,2308.15977,,,
ALB,Albania,0.107,8575.17113,,,
ARE,United Arab Emirates,0.04,49040.69475,,,
ARG,Argentina,0.264,14187.48273,1049.141,804.57,244.571
ARM,Armenia,0.18,8053.01066,,,
ATG,Antigua and Barbuda,0.24,21787.10173,,,
AUS,Australia,0.056,64820.91179,,,
AUT,Austria,0.033,56033.57379,,,
AZE,Azerbaijan,0.315,7125.90858,,,
BDI,Burundi,0.501,193.00715,,,
BEL,Belgium,0.031,54700.90932,,,
BEN,Benin,0.573,1394.3733,,,
BFA,Burkina Faso,0.555,882.68981,344.074,212.912,131.162
BGD,Bangladesh,0.487,2551.01773,231.386,225.519,5.867
BGR,Bulgaria,0.208,15885.53913,,,
BHR,Bahrain,0.165,29218.86056,,,
BHS,Bahamas,0.325,35896.50511,,,
BIH,Bosnia and Herzegovina,0.157,8638.6662,1013.95,992.621,21.329
BLR,Belarus,0.08,7829.05314,,,
BLZ,Belize,0.428,7459.99815,,,
BOL,Bolivia (Plurinational State of),0.419,3686.27996,669,590.375,78.625
BRA,Brazil,0.39,10294.86668,1116.733,801.209,315.524
BRB,Barbados,0.297,23804.02499,,,
BRN,Brunei Darussalam,0.257,32962.90651,,,
BWA,Botswana,0.49,7820.2324,1437.177,1140.775,296.402
CAN,Canada,0.052,53431.18571,,,
CHE,Switzerland,0.01,99564.71003,9195.019,6122.147,3072.872
CHL,Chile,0.102,17067.81362,,,
CHN,China,0.132,12614.06174,,,
CIV,C?te d'Ivoire,0.589,2530.84659,,,
CMR,Cameroon,0.558,1736.86091,,,
COD,Congo (Democratic Republic of the),0.604,627.50218,,,
COG,Congo,0.565,2477.97846,,,
COL,Colombia,0.393,6947.35929,707.581,659.39,48.191
COM,Comoros,0.501,1590.31238,,,
CPV,Cabo Verde,0.298,4850.98416,,,
CRI,Costa Rica,0.217,16942.02681,2009.436,1876.502,132.934
CYP,Cyprus,0.252,36551.41797,,,
CZE,Czechia,0.088,31591.17707,,,
DEU,Germany,0.057,54343.22651,,,
DJI,Djibouti,0.481,3554.83919,,,
